wR,wL
1.2692034320502774,1.2692034320502774
1.275486617357457,1.275486617357457
1.2817698026646365,1.2817698026646365
1.288052987971816,1.288052987971816
1.2943361732789957,1.2943361732789957
1.3006193585861754,1.3006193585861754
1.3069025438933548,1.3069025438933548
1.3131857292005344,1.3131857292005344
1.3194689145077139,1.3194689145077139
1.3257520998148935,1.3257520998148935
1.3320352851220734,1.3320352851220734
1.338318470429253,1.338318470429253
1.3446016557364326,1.3446016557364326
1.3508848410436123,1.3508848410436123
1.3571680263507917,1.3571680263507917
1.3634512116579711,1.3634512116579711
1.3697343969651508,1.3697343969651508
1.3760175822723304,1.3760175822723304
1.38230076757951,1.38230076757951
1.3885839528866897,1.3885839528866897
1.394867138193869,1.394867138193869
1.4011503235010487,1.4011503235010487
1.4074335088082284,1.4074335088082284
1.413716694115408,1.413716694115408
1.4199998794225874,1.4199998794225874
1.426283064729767,1.426283064729767
1.432566250036947,1.432566250036947
1.4388494353441266,1.4388494353441266
1.445132620651306,1.445132620651306
1.4514158059584856,1.4514158059584856
1.4576989912656653,1.4576989912656653
1.463982176572845,1.463982176572845
1.4702653618800243,1.4702653618800243
1.476548547187204,1.476548547187204
1.4828317324943836,1.4828317324943836
1.4891149178015632,1.4891149178015632
1.4953981031087429,1.4953981031087429
1.501681288415922,1.501681288415922
1.5079644737231017,1.5079644737231017
1.5142476590302811,1.5142476590302811
1.5205308443374608,1.5205308443374608
1.5268140296446404,1.5268140296446404
1.5330972149518203,1.5330972149518203
1.539380400259,1.539380400259
1.5456635855661796,1.5456635855661796
1.5519467708733592,1.5519467708733592
1.5582299561805386,1.5582299561805386
1.5645131414877183,1.5645131414877183
1.5707963267948974,1.5707963267948974
1.577079512102077,1.577079512102077
1.5833626974092567,1.5833626974092567
1.5896458827164364,1.5896458827164364
1.595929068023616,1.595929068023616
1.6022122533307959,1.6022122533307959
1.6084954386379755,1.6084954386379755
1.6147786239451547,1.6147786239451547
1.6210618092523343,1.6210618092523343
1.6273449945595138,1.6273449945595138
1.6336281798666934,1.6336281798666934
1.639911365173873,1.639911365173873
1.6461945504810527,1.6461945504810527
1.6524777357882323,1.6524777357882323
1.6587609210954117,1.6587609210954117
1.6650441064025914,1.6650441064025914
1.671327291709771,1.671327291709771
1.6776104770169507,1.6776104770169507
1.68389366232413,1.68389366232413
1.6901768476313097,1.6901768476313097
1.6964600329384893,1.6964600329384893
1.7027432182456692,1.7027432182456692
1.7090264035528488,1.7090264035528488
1.7153095888600285,1.7153095888600285
1.7215927741672081,1.7215927741672081
1.7278759594743873,1.7278759594743873
1.734159144781567,1.734159144781567
1.7404423300887464,1.7404423300887464
1.746725515395926,1.746725515395926
1.7530087007031057,1.7530087007031057
1.7592918860102853,1.7592918860102853
1.765575071317465,1.765575071317465
1.7718582566246444,1.7718582566246444
1.778141441931824,1.778141441931824
1.7844246272390036,1.7844246272390036
1.7907078125461833,1.7907078125461833
1.7969909978533627,1.7969909978533627
1.8032741831605428,1.8032741831605428
1.8095573684677222,1.8095573684677222
1.8158405537749018,1.8158405537749018
1.8221237390820815,1.8221237390820815
1.8284069243892611,1.8284069243892611
1.8346901096964408,1.8346901096964408
1.84097329500362,1.84097329500362
1.8472564803107996,1.8472564803107996
1.853539665617979,1.853539665617979
1.8598228509251586,1.8598228509251586
1.8661060362323383,1.8661060362323383
1.872389221539518,1.872389221539518
1.8786724068466976,1.8786724068466976
1.884955592153877,1.884955592153877
1.8912387774610566,1.8912387774610566
1.8975219627682363,1.8975219627682363
1.9038051480754161,1.9038051480754161
1.9100883333825958,1.9100883333825958
1.9163715186897754,1.9163715186897754
1.9226547039969548,1.9226547039969548
1.9289378893041345,1.9289378893041345
1.935221074611314,1.935221074611314
1.9415042599184937,1.9415042599184937
1.9477874452256734,1.9477874452256734
1.9540706305328526,1.9540706305328526
1.9603538158400322,1.9603538158400322
1.9666370011472116,1.9666370011472116
1.9729201864543913,1.9729201864543913
1.979203371761571,1.979203371761571
1.9854865570687505,1.9854865570687505
1.9917697423759302,1.9917697423759302
1.9980529276831096,1.9980529276831096
2.0043361129902895,2.0043361129902895
2.010619298297469,2.010619298297469
2.0169024836046487,2.0169024836046487
2.0231856689118284,2.0231856689118284
2.029468854219008,2.029468854219008
2.0357520395261877,2.0357520395261877
2.0420352248333673,2.0420352248333673
2.0483184101405465,2.0483184101405465
2.054601595447726,2.054601595447726
2.0608847807549058,2.0608847807549058
2.067167966062085,2.067167966062085
2.0734511513692646,2.0734511513692646
2.0797343366764443,2.0797343366764443
2.086017521983624,2.086017521983624
2.0923007072908035,2.0923007072908035
2.098583892597983,2.098583892597983
2.104867077905163,2.104867077905163
2.1111502632123424,2.1111502632123424
2.117433448519522,2.117433448519522
2.1237166338267017,2.1237166338267017
2.1299998191338814,2.1299998191338814
2.136283004441061,2.136283004441061
2.1425661897482406,2.1425661897482406
2.1488493750554203,2.1488493750554203
2.1551325603626,2.1551325603626
2.161415745669779,2.161415745669779
2.1676989309769588,2.1676989309769588
2.1739821162841384,2.1739821162841384
2.1802653015913176,2.1802653015913176
2.1865484868984972,2.1865484868984972
2.192831672205677,2.192831672205677
2.1991148575128565,2.1991148575128565
2.2053980428200366,2.2053980428200366
2.2116812281272162,2.2116812281272162
2.2179644134343954,2.2179644134343954
2.224247598741575,2.224247598741575
2.2305307840487547,2.2305307840487547
2.236813969355934,2.236813969355934
2.243097154663114,2.243097154663114
2.249380339970293,2.249380339970293
2.2556635252774733,2.2556635252774733
2.261946710584653,2.261946710584653
2.2682298958918325,2.2682298958918325
2.2745130811990117,2.2745130811990117
2.2807962665061914,2.2807962665061914
2.287079451813371,2.287079451813371
2.29336263712055,2.29336263712055
2.2996458224277303,2.2996458224277303
2.3059290077349095,2.3059290077349095
2.3122121930420896,2.3122121930420896
2.3184953783492688,2.3184953783492688
2.324778563656449,2.324778563656449
2.331061748963628,2.331061748963628
2.3373449342708077,2.3373449342708077
2.3436281195779873,2.3436281195779873
2.349911304885167,2.349911304885167
2.356194490192347,2.356194490192347
2.3624776754995263,2.3624776754995263
2.3687608608067063,2.3687608608067063
2.3750440461138855,2.3750440461138855
2.381327231421065,2.381327231421065
2.3876104167282444,2.3876104167282444
2.393893602035424,2.393893602035424
2.4001767873426036,2.4001767873426036
2.4064599726497833,2.4064599726497833
2.4127431579569625,2.4127431579569625
2.4190263432641426,2.4190263432641426
2.4253095285713218,2.4253095285713218
2.431592713878502,2.431592713878502
2.437875899185681,2.437875899185681
2.4441590844928607,2.4441590844928607
2.4504422698000403,2.4504422698000403
2.45672545510722,2.45672545510722
2.4630086404144,2.4630086404144
2.4692918257215792,2.4692918257215792
2.4755750110287593,2.4755750110287593
2.4818581963359385,2.4818581963359385
2.488141381643118,2.488141381643118
2.494424566950298,2.494424566950298
2.500707752257477,2.500707752257477
2.5069909375646566,2.5069909375646566
2.5132741228718363,2.5132741228718363
2.5195573081790155,2.5195573081790155
2.5258404934861955,2.5258404934861955
2.5321236787933747,2.5321236787933747
2.538406864100555,2.538406864100555
2.544690049407734,2.544690049407734
2.550973234714914,2.550973234714914
2.5572564200220937,2.5572564200220937
2.563539605329273,2.563539605329273
2.569822790636453,2.569822790636453
2.576105975943632,2.576105975943632
2.5823891612508123,2.5823891612508123
2.5886723465579915,2.5886723465579915
2.594955531865171,2.594955531865171
2.601238717172351,2.601238717172351
2.6075219024795304,2.6075219024795304
2.6138050877867096,2.6138050877867096
2.6200882730938893,2.6200882730938893
2.626371458401069,2.626371458401069
2.6326546437082485,2.6326546437082485
2.6389378290154277,2.6389378290154277
2.645221014322608,2.645221014322608
2.651504199629787,2.651504199629787
2.657787384936967,2.657787384936967
2.6640705702441467,2.6640705702441467
2.670353755551326,2.670353755551326
2.676636940858506,2.676636940858506
2.682920126165685,2.682920126165685
2.6892033114728653,2.6892033114728653
2.6954864967800445,2.6954864967800445
2.7017696820872246,2.7017696820872246
2.7080528673944038,2.7080528673944038
2.7143360527015834,2.7143360527015834
2.720619238008763,2.720619238008763
2.7269024233159422,2.7269024233159422
2.733185608623122,2.733185608623122
2.7394687939303015,2.7394687939303015
2.7457519792374807,2.7457519792374807
2.752035164544661,2.752035164544661
2.758318349851841,2.758318349851841
2.76460153515902,2.76460153515902
2.7708847204661997,2.7708847204661997
2.7771679057733794,2.7771679057733794
2.783451091080559,2.783451091080559
2.789734276387738,2.789734276387738
2.7960174616949183,2.7960174616949183
2.8023006470020975,2.8023006470020975
2.8085838323092776,2.8085838323092776
2.8148670176164567,2.8148670176164567
2.8211502029236364,2.8211502029236364
2.827433388230816,2.827433388230816
2.8337165735379957,2.8337165735379957
2.839999758845175,2.839999758845175
2.846282944152355,2.846282944152355
2.852566129459534,2.852566129459534
2.8588493147667142,2.8588493147667142
2.865132500073894,2.865132500073894
2.8714156853810735,2.8714156853810735
2.877698870688253,2.877698870688253
2.8839820559954323,2.8839820559954323
2.890265241302612,2.890265241302612
2.896548426609791,2.896548426609791
2.9028316119169713,2.9028316119169713
2.9091147972241505,2.9091147972241505
2.9153979825313305,2.9153979825313305
2.9216811678385093,2.9216811678385093
2.92796435314569,2.92796435314569
2.9342475384528686,2.9342475384528686
2.9405307237600486,2.9405307237600486
2.946813909067228,2.946813909067228
2.953097094374408,2.953097094374408
2.9593802796815876,2.9593802796815876
2.965663464988767,2.965663464988767
2.971946650295947,2.971946650295947
2.9782298356031265,2.9782298356031265
2.984513020910306,2.984513020910306
2.9907962062174858,2.9907962062174858
2.997079391524665,2.997079391524665
3.003362576831844,3.003362576831844
3.0096457621390242,3.0096457621390242
3.0159289474462034,3.0159289474462034
3.0222121327533835,3.0222121327533835
3.0284953180605623,3.0284953180605623
3.034778503367743,3.034778503367743
3.0410616886749215,3.0410616886749215
3.047344873982102,3.047344873982102
3.053628059289281,3.053628059289281
3.059911244596461,3.059911244596461
3.0661944299036406,3.0661944299036406
3.07247761521082,3.07247761521082
3.078760800518,3.078760800518
3.0850439858251795,3.0850439858251795
3.091327171132359,3.091327171132359
3.0976103564395387,3.0976103564395387
3.1038935417467184,3.1038935417467184
3.1101767270538976,3.1101767270538976
3.1164599123610772,3.1164599123610772
3.1227430976682564,3.1227430976682564
3.1290262829754365,3.1290262829754365
3.1353094682826157,3.1353094682826157
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
3.141592653589793,3.141592653589793
